S,T,Magnitude,X,Y,Temperature
143,100,0.073908498,0.9740277,-0.226429,0.7975
144,100,0.05743274,0.9984988,-0.0547739,0.7987356
145,100,0.05743274,0.8776495,-0.479303,0.7950287
146,100,0.037416727,0.9200649,-0.391766,0.7919348
147,100,0.017416727,0.9153506,-0.4026577,0.7931034
148,100,0.05499977,0.9975978,-0.0692721,0.7883525
149,100,0.03499977,0.976401,-0.2159656,0.7851437
150,100,0.059555036,0.9355834,-0.3531057,0.7854885
151,100,0.079555036,0.996438,-0.0843281,0.7806992
152,100,0.069553505,0.9997542,-0.0221719,0.7794636
153,100,0.049553505,0.8777283,-0.4791586,0.7753065
154,100,0.093376859,0.9941153,-0.1083273,0.7788506
155,100,0.113376859,0.9993669,-0.035578,0.7737739
156,100,0.10966286,0.9971724,0.0751482,0.7660824
157,100,0.08966286,0.9289372,-0.3702373,0.7669827
158,100,0.073157767,0.998063,-0.062211,0.765498
159,100,0.113157767,0.9990381,0.0438506,0.7496552
160,100,0.09623924,0.8876568,0.4605056,0.7418103
161,100,0.05623924,0.726338,0.6873377,0.7174138
162,100,0.164442745,0.6578431,0.753155,0.6787356
217,100,0,0,0,0.9081226
218,100,0,0,0,0.9195498
0,99,0.03937286,0.6712649,-0.7412176,0.8681705
1,99,0.03937286,0.6603263,-0.7509788,0.8692337
2,99,0.056893539,0.789858,-0.6132898,0.8683429
3,99,0.096893539,0.8785858,-0.4775845,0.8685344
4,99,0.049250692,0.6952642,-0.7187544,0.869339
5,99,0.029250692,0.217262,-0.9761133,0.8629597
6,99,0.044954651,0.4273264,-0.9040974,0.8591092
7,99,0.044954651,0.657086,-0.7538157,0.8622509
8,99,0.020931169,0.9962988,-0.0859568,0.8571072
9,99,0.020931169,0.8731685,-0.4874185,0.8534674
10,99,0.033338727,0.3721562,-0.9281701,0.849818
11,99,0.053338727,0.3753939,-0.9268653,0.8536973
12,99,0.005020608,-0.5957449,-0.8031737,0.8556513
13,99,0.025020608,-0.4100146,-0.912079,0.8521743
14,99,0.066792733,-0.7074569,-0.7067564,0.8486781
15,99,0.066792733,-0.9719954,-0.235,0.8502299
16,99,0.077484196,-0.8941246,-0.4478182,0.8530459
17,99,0.057484196,-0.8725489,-0.4885267,0.852251
18,99,0.027272427,-0.6779886,-0.7350724,0.8487644
19,99,0.087272427,-0.5641987,-0.8256391,0.8483046
20,99,0.045897675,-0.9609545,-0.2767062,0.845862
21,99,0.145897675,0.7593136,-0.6507249,0.8408716
22,99,0.101994012,0.7449887,0.6670771,0.8234578
23,99,0.181994012,0.967348,0.2534519,0.821226
24,99,0.027641251,0.0286813,-0.9995886,0.8184386
25,99,0.047641251,0.0384496,-0.9992605,0.8157471
26,99,0.067721425,0.6460052,-0.763333,0.8119636
27,99,0.107721425,0.9991795,0.0404996,0.8014368
28,99,0.093258622,0.9365091,-0.3506432,0.8048467
29,99,0.093258622,0.9501536,-0.3117821,0.8000575
30,99,0.069469417,0.9142964,-0.4050456,0.7912931
31,99,0.029469417,0.9779803,0.2086973,0.7822413
32,99,0.081800967,0.9811445,0.1932755,0.7828448
33,99,0.061800967,0.0868777,-0.996219,0.7756513
34,99,0.058348569,0.9692054,-0.2462538,0.768793
35,99,0.078348569,0.6952113,-0.7188054,0.7594827
36,99,0.047501093,0.9343973,-0.3562325,0.7541283
37,99,0.027501093,0.7907003,-0.6122035,0.7632663
38,99,0.042369708,0.9512879,-0.3083039,0.7532471
39,99,0.062369708,0.7608926,-0.6488778,0.7465038
40,99,0.047972552,0.9338199,0.3577436,0.754387
41,99,0.087972552,0.9526705,-0.3040049,0.7500096
42,99,0.074067127,0.9428719,-0.3331555,0.7486877
43,99,0.054067127,0.9824816,-0.1863597,0.7614176
44,99,0.033057821,0.9112941,0.4117561,0.7698755
45,99,0.093057821,0.9316608,-0.3633294,0.7580939
46,99,0.04238723,0.9982532,0.05908,0.7464463
47,99,0.06238723,0.8047593,-0.5936013,0.7529789
48,99,0.073138251,0.6645918,0.7472066,0.7518391
49,99,0.053138251,0.8072589,-0.5901975,0.7519636
50,99,0.054318809,0.8098831,-0.5865912,0.7583812
51,99,0.034318809,0.9692932,-0.2459077,0.7682471
52,99,0.035640615,0.9944237,0.1054587,0.7727299
53,99,0.035640615,0.6471411,0.7623702,0.7641379
54,99,0.085891212,0.9084638,0.4179634,0.7448946
55,99,0.085891212,0.8867374,-0.4622735,0.7599233
56,99,0.059431059,0.9998507,-0.0172767,0.758295
57,99,0.039431059,0.5935583,0.804791,0.7765134
58,99,0.055806711,0.9372367,-0.3486938,0.7696072
59,99,0.075806711,0.986307,0.1649197,0.7802778
60,99,0.04591094,0.980951,0.1942555,0.7718199
61,99,0.04591094,0.6865643,0.7270691,0.7816954
62,99,0.026482772,0.9825281,0.1861142,0.7999808
63,99,0.086482772,0.5680432,0.8229987,0.8124617
64,99,0.045662968,0.5249954,0.8511051,0.8261877
65,99,0.065662968,0.907396,0.4202766,0.8324713
66,99,0.038560025,0.8004509,0.5993984,0.8432567
67,99,0.038560025,0.2855741,0.9583566,0.845977
68,99,0.108234466,0.2903754,0.9569128,0.8390613
69,99,0.088234466,-0.2957152,-0.9552761,0.8322414
